Finished,Horse,Post,Owner,Team
1,Golden Tempo,19,Jack,Pukkake
2,Renegade,1,Grant,One Big Beautiful Dill
3,Ocelli,22,,
4,Chief Wallabee,12,,
5,Danon Bourbon,7,Henry,Dump it on my Chest
6,Incredibolt,11,,
7,Commandment,6,Shawnee,D***er my Sufficient Tight End
8,Wonder Dean,10,Jono,IDPs Forever
9,So Happy,8,Luke,2x Runner Up
10,Emerging Market,15,,
11,Further Ado,18,Trevor,I am dead inside
12,Potente,14,,
13,Six Speed,17,Wade,Dont spit just swallow
14,Robusta,23,Zach,Big Brown Dak Makes em Waddle
15,Albus,2,,
16,Intrepido,3,Dillon,Thoughts And Players
17,Litmus Test,4,Kevin,Keeping up with the McCalferies
18,Pavlovian,16,,
19,Great White,21,Nate,Trick or Trick It's Mike Vick
